时间点,总请求数,卡顿率,⾸首帧加载时⻓长,错误率
2019-05-21T14:40,72,0.0,1394.5416,0.0
2019-05-21T14:45,552,0.036082473,1359.8914,0.0036231885
2019-05-21T14:50,1134,0.037087914,1395.4144,0.0
2019-05-21T14:55,2270,0.031528443,1349.2802,0.0026431717
2019-05-21T15:00,3802,0.042487953,1288.8843,0.003419253
2019-05-21T15:05,4698,0.044348508,1366.6016,0.0023414218
2019-05-21T15:10,5141,0.044935808,1309.9957,0.0033067497
2019-05-21T15:15,5575,0.055330634,1227.259,0.0041255606
2019-05-21T15:20,5715,0.04625347,1345.2062,0.005249344
2019-05-21T15:25,5660,0.046895213,1285.788,0.0026501766
2019-05-21T15:30,5836,0.063242376,1316.2585,0.0029129542
2019-05-21T15:35,5691,0.063402385,1281.1118,0.0052714814
2019-05-21T15:40,5763,0.06110422,1276.3988,0.0029498525
2019-05-21T15:45,5691,0.057371795,1274.0328,0.0050957655
2019-05-21T15:50,5666,0.053780966,1245.5194,0.0044122837
2019-05-21T15:55,5830,0.0621875,1282.1659,0.0051457975
2019-05-21T16:00,5900,0.055425905,1252.0348,0.0033898305
2019-05-21T16:05,5910,0.056609366,1293.5433,0.0042301184
2019-05-21T16:10,5910,0.056170214,1346.5864,0.003891709
2019-05-21T16:15,5688,0.056410257,1284.3463,0.0038677917
2019-05-21T16:20,5497,0.054399524,1289.2136,0.0050936877
2019-05-21T16:25,5721,0.06385579,1338.108,0.004195071
2019-05-21T16:30,5474,0.058517158,1332.5466,0.0040189987
2019-05-21T16:35,5484,0.06954059,1313.6984,0.0051057623
2019-05-21T16:40,5614,0.06280331,1388.1187,0.0058781616
2019-05-21T16:45,5692,0.06137952,1345.6632,0.003865074
2019-05-21T16:50,5639,0.06350131,1310.1465,0.003901401
2019-05-21T16:55,5546,0.055475295,1370.6619,0.0064911647
2019-05-21T17:00,5612,0.052242745,1364.022,0.004811119
2019-05-21T17:05,5631,0.06972362,1335.699,0.0033741787
2019-05-21T17:10,5751,0.06416772,1358.1864,0.003477656
2019-05-21T17:15,5725,0.05882353,1384.3372,0.00419214
2019-05-21T17:20,5682,0.057029925,1351.3721,0.0049278424
2019-05-21T17:25,5875,0.058364544,1341.5884,0.004255319
2019-05-21T17:30,6004,0.056041554,1342.513,0.0053297803
2019-05-21T17:35,5944,0.06611813,1391.774,0.0035329745
2019-05-21T17:40,6226,0.063570395,1402.4492,0.004176036
2019-05-21T17:45,6058,0.06820169,1423.156,0.005282271
2019-05-21T17:50,6110,0.06789044,1378.777,0.0047463174
2019-05-21T17:55,6275,0.06984315,1407.9264,0.004143426
2019-05-21T18:00,6364,0.06717227,1501.2151,0.0040854807
2019-05-21T18:05,5974,0.059645038,1438.4208,0.006528289
2019-05-21T18:10,6119,0.054511774,1446.9933,0.0039222096
2019-05-21T18:15,6350,0.06713287,1409.4111,0.0036220471
2019-05-21T18:20,6487,0.06948229,1500.3649,0.0058578695
2019-05-21T18:25,6419,0.06631097,1527.5966,0.0054525626
2019-05-21T18:30,6501,0.07417028,1378.4768,0.005076142
2019-05-21T18:35,6674,0.060984753,1374.3348,0.0052442313
2019-05-21T18:40,7116,0.061003163,1375.5824,0.00435638
2019-05-21T18:45,7314,0.0677212,1346.767,0.0027344818
2019-05-21T18:50,7073,0.06864878,1398.0511,0.0045242473
2019-05-21T18:55,7245,0.06712062,1447.743,0.0057971017
2019-05-21T19:00,7394,0.070866145,1489.7943,0.004463078
2019-05-21T19:05,7685,0.07424442,1519.1084,0.0045543266
2019-05-21T19:10,7644,0.06153846,1409.9447,0.005363684
2019-05-21T19:15,7712,0.063739695,1456.5312,0.00531639
2019-05-21T19:20,8023,0.063148595,1499.2777,0.0044870996
2019-05-21T19:25,8012,0.07356322,1433.8627,0.005741388
2019-05-21T19:30,8197,0.067768596,1539.8857,0.0047578383
